rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2014),rank change from 2014,type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,fulltime teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
11,Middlesex County Vocational Academy Allied Health & Biomedical Science,8-12,253,13.3,8.70%,94.9,1,-10,Public,1 Convery Boulevard,Woodbridge,7095,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 634-5858,19,53 (20.9 %),3 (1.2 %),23 (9.1 %),174 (68.8 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
12,Academy Of Allied Health And Science,9-12,290,11.6,5.90%,94.8,1,-11,Public,2325 Heck Avenue,Neptune,7753,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 775-0058,25,186 (64.1 %),9 (3.1 %),7 (2.4 %),84 (29.0 %),1 (0.3 %),2 (0.7 %),1 (0.3 %)
13,Bergen County Academies,9-12,"1,044",11.1,4.80%,94.7,1,-12,Public,200 Hackensack Avenue,Hackensack,7601,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,No,(201) 343-6000,94,400 (38.3 %),12 (1.1 %),65 (6.2 %),521 (49.9 %),0 (0.0 %),1 (0.1 %),45 (4.3 %)
14,Marine Academy of Technology and Environmental Science,9-12,274,10.1,0.00%,94,1,-13,Public,195 Cedar Bridge Road,Manahawkin,8050,Ocean,Ocean County Vocational Technical School School District,No,(n/a),No,No,(609) 978-8439,27,218 (79.6 %),4 (1.5 %),14 (5.1 %),26 (9.5 %),1 (0.4 %),5 (1.8 %),6 (2.2 %)
15,North Star Academy Charter School,K-12,"3,403",11.9,83.90%,93.4,24,9,"Public, Charter, Alternative",10 Washington Place,Newark,7102,Essex,North Star Academy Charter School,Yes,(n/a),No,Yes,(973) 642-0101,285,169 (5.0 %),"3,033 (89.1 %)",116 (3.4 %),68 (2.0 %),0 (0.0 %),0 (0.0 %),17 (0.5 %)
16,Communications High School,9-12,323,11.5,2.20%,93.3,1,-15,Public,1740 New Bedford Road,Wall,7719,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,28,285 (88.2 %),1 (0.3 %),18 (5.6 %),19 (5.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
17,Dr Ronald McNair High School,9-12,716,14.3,50.30%,92.7,17,0,Public,123 Coles Street,Jersey City,7302,Hudson,Jersey City School District,No,(n/a),No,Yes,(201) 418-7617,50,128 (17.9 %),122 (17.0 %),146 (20.4 %),285 (39.8 %),10 (1.4 %),4 (0.6 %),21 (2.9 %)
18,Science Park High School,7-12,800,12.1,74.10%,92.2,19,1,Public,260 Norfolk Street,Newark,7102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 733-8689,66,160 (20.0 %),231 (28.9 %),373 (46.6 %),30 (3.8 %),3 (0.4 %),3 (0.4 %),0 (0.0 %)
19,Academy For Performing Arts,9-12,184,15.3,8.20%,91.8,19,0,Public,1776 Raritan Road,Scotch Plains,7076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,12,97 (52.7 %),28 (15.2 %),48 (26.1 %),6 (3.3 %),1 (0.5 %),1 (0.5 %),3 (1.6 %)
20,Bergen County Technical High School - Teterboro,9-12,665,10,13.40%,87.9,21,1,Public,504 Route 46 West,Teterboro,7608,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,66,279 (42.0 %),30 (4.5 %),126 (18.9 %),193 (29.0 %),2 (0.3 %),2 (0.3 %),33 (5.0 %)
21,McVs Assunpink Center Shared Time/Rubino,9-12,182,13,33.50%,86.6,67,46,Public,1085 Old Trenton Road,Trenton,8690,Mercer,Area Vocational Technical Schools Of Mercer County,No,(n/a),No,No,(609) 586-5144,14,26 (14.3 %),89 (48.9 %),26 (14.3 %),41 (22.5 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
22,Summit High School,9-12,"1,231",11.8,17.60%,86.2,90,68,Public,125 Kent Place Blvd,Summit,7901,Union,Summit Public School District,No,(n/a),No,Yes,(908) 273-1494,104,837 (68.0 %),65 (5.3 %),217 (17.6 %),74 (6.0 %),0 (0.0 %),0 (0.0 %),38 (3.1 %)
23,Glen Ridge High School,7-12,824,11.7,0.00%,84.5,25,2,Public,200 Ridgewood Ave,Glen Ridge,7028,Essex,Glen Ridge Public School District,No,(n/a),No,No,(973) 429-8303,70,645 (78.3 %),50 (6.1 %),55 (6.7 %),31 (3.8 %),1 (0.1 %),0 (0.0 %),42 (5.1 %)
24,Mahwah High School,9-12,968,10.6,10.70%,83.9,40,16,Public,50 Ridge Road,Mahwah,7430,Bergen,Mahwah Township Public School District,No,(n/a),No,Yes,(201) 762-2300,91,759 (78.4 %),24 (2.5 %),62 (6.4 %),101 (10.4 %),4 (0.4 %),2 (0.2 %),16 (1.7 %)
25,River Dell Regional High School,9-12,"1,067",12.1,1.20%,83.1,89,64,Public,55 Pyle Street,Oradell,7649,Bergen,River Dell Regional School District,No,(n/a),No,No,(201) 599-7240,88,765 (71.7 %),16 (1.5 %),74 (6.9 %),202 (18.9 %),0 (0.0 %),2 (0.2 %),8 (0.7 %)
26,Ridge High School,9-12,"1,900",13.5,2.30%,82.6,32,6,Public,268 So Finley Ave,Basking Ridge,7920,Somerset,Bernards Township School District,No,(n/a),No,Yes,(908) 204-2585,140,"1,397 (73.5 %)",14 (0.7 %),76 (4.0 %),384 (20.2 %),0 (0.0 %),0 (0.0 %),29 (1.5 %)
27,West Morris Central High School,9-12,"1,299",12.9,1.20%,81.4,47,20,Public,259 Bartley Road,Chester,7930,Morris,West Morris Regional High School District,No,(n/a),No,No,(908) 879-5212,100,"1,144 (88.1 %)",23 (1.8 %),72 (5.5 %),43 (3.3 %),1 (0.1 %),1 (0.1 %),15 (1.2 %)
28,Montclair High School,9-12,"1,936",12.2,18.80%,81,144,116,Public,100 Chestnut St,Montclair,7042,Essex,Montclair Public Schools,No,(n/a),No,No,(973) 509-4100,158,930 (48.0 %),662 (34.2 %),184 (9.5 %),104 (5.4 %),3 (0.2 %),1 (0.1 %),52 (2.7 %)
29,Ridgewood High School,9-12,"1,714",12.8,1.30%,80.8,33,4,Public,627 East Ridgewood Ave,Ridgewood,7451,Bergen,Ridgewood Public School District,No,(n/a),No,No,(201) 670-2800,133,"1,204 (70.2 %)",13 (0.8 %),143 (8.3 %),275 (16.0 %),2 (0.1 %),2 (0.1 %),75 (4.4 %)
30,Morris County School of Technology,9-12,653,9.3,9.50%,80.3,1,-29,Public,400 East Main Street,Denville,7834,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 627-4600,70,429 (65.7 %),16 (2.5 %),72 (11.0 %),127 (19.4 %),0 (0.0 %),1 (0.2 %),8 (1.2 %)
31,Montgomery High School,9-12,"1,714",14,3.90%,80,23,-8,Public,1016 Route 601,Skillman,8558,Somerset,Montgomery Township School District,No,(n/a),No,Yes,(609) 466-7602,122,961 (56.1 %),51 (3.0 %),62 (3.6 %),636 (37.1 %),2 (0.1 %),0 (0.0 %),2 (0.1 %)
32,John P. Stevens High School,9-12,"2,170",14.2,18.80%,79.7,94,62,Public,855 Grove Avenue,Edison,8820,Middlesex,Edison Township School District,No,(n/a),No,No,(732) 452-2800,152,371 (17.1 %),179 (8.2 %),82 (3.8 %),"1,526 (70.3 %)",1 (0.0 %),4 (0.2 %),7 (0.3 %)
33,New Milford High School,9-12,632,12.3,8.90%,78.9,176,143,Public,330 River Road,New Milford,7646,Bergen,New Milford Public School District,No,(n/a),No,No,(201) 262-0172,51,319 (50.5 %),30 (4.7 %),127 (20.1 %),71 (11.2 %),0 (0.0 %),85 (13.4 %),0 (0.0 %)
34,Bergen Arts And Sciences Charter School,K-12,959,12.4,55.20%,78.8,212,178,"Public, Charter, Alternative",200 MacArthur Avenue,Garfield,7026,Bergen,Bergen Arts And Science Charter School,Yes,(n/a),No,No,(201) 773-9140,77,339 (35.3 %),140 (14.6 %),401 (41.8 %),78 (8.1 %),1 (0.1 %),0 (0.0 %),0 (0.0 %)
35,Pascack Hills High School,9-12,845,12.2,1.70%,78.2,60,25,Public,225 West Grand Avenue,Montvale,7645,Bergen,Pascack Valley Regional High School District,No,(n/a),No,No,(201) 358-7020,69,704 (83.3 %),10 (1.2 %),51 (6.0 %),77 (9.1 %),1 (0.1 %),0 (0.0 %),2 (0.2 %)
36,Millburn High School,9-12,"1,472",11.6,2.90%,78.1,37,1,Public,462 Millburn Ave,Millburn,7041,Essex,Millburn Township School District,No,(n/a),No,No,(973) 564-7130,126,"1,056 (71.7 %)",29 (2.0 %),43 (2.9 %),336 (22.8 %),1 (0.1 %),2 (0.1 %),5 (0.3 %)
37,Livingston High School,9-12,"1,846",11.7,1.60%,78,52,15,Public,30 Robert Harp Drive,Livingston,7039,Essex,Livingston Board Of Education School District,No,(n/a),No,Yes,(973) 535-8000,157,"1,247 (67.6 %)",66 (3.6 %),66 (3.6 %),441 (23.9 %),0 (0.0 %),3 (0.2 %),23 (1.2 %)
38,Moorestown High School,9-12,"1,337",11.7,9.30%,77.6,58,20,Public,350 Bridgeboro Road,Moorestown,8057,Burlington,Moorestown Township Public School District,No,(n/a),No,No,(856) 778-6610,114,"1,020 (76.3 %)",91 (6.8 %),75 (5.6 %),131 (9.8 %),3 (0.2 %),3 (0.2 %),14 (1.0 %)
39,Central Jersey College Prep Charter School,K-12,316,9.5,39.20%,77.5,155,116,"Public, Charter, Alternative",17 Schoolhouse Rd,Somerset,8873,Somerset,Central Jersey College Prep Charter School,Yes,(n/a),No,No,(732) 302-9991,33,38 (12.0 %),150 (47.5 %),64 (20.3 %),62 (19.6 %),1 (0.3 %),0 (0.0 %),1 (0.3 %)
40,West Morris Mendham High School,9-12,"1,386",13,1.20%,76.6,29,-11,Public,65 East Main Street,Mendham,7945,Morris,West Morris Regional High School District,No,(n/a),No,No,(973) 543-2501,106,"1,183 (85.4 %)",14 (1.0 %),92 (6.6 %),71 (5.1 %),3 (0.2 %),1 (0.1 %),22 (1.6 %)
41,Ramapo High School,9-12,"1,088",10.7,1.40%,76.4,36,-5,Public,331 George Street,Franklin Lakes,7417,Bergen,Ramapo Indian Hills Regional High School District,No,(n/a),No,No,(201) 891-1500,101,984 (90.4 %),12 (1.1 %),26 (2.4 %),63 (5.8 %),0 (0.0 %),0 (0.0 %),3 (0.3 %)
42,Westwood Junionr/Senior High School,8-12,"1,076",10.9,7.10%,75.2,106,64,Public,701 Ridgewood Road,Township Of Washington,7676,Bergen,Westwood Regional School District,No,(n/a),No,No,(201) 664-0880,98,859 (79.8 %),39 (3.6 %),104 (9.7 %),68 (6.3 %),0 (0.0 %),0 (0.0 %),6 (0.6 %)
43,Cherry Hill High School East,9-12,"2,159",16.3,13.20%,74.5,48,5,Public,1750 Kresson Rd,Cherry Hill,8003,Camden,Cherry Hill School District,No,(n/a),No,No,(856) 424-2222,132,"1,427 (66.1 %)",158 (7.3 %),102 (4.7 %),428 (19.8 %),0 (0.0 %),2 (0.1 %),42 (1.9 %)
44,Voorhees High School,9-12,"1,067",12.1,5.40%,73.9,39,-5,Public,256 County Route 513,Glen Gardner,8826,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,Yes,(908) 638-6116,88,961 (90.1 %),26 (2.4 %),41 (3.8 %),36 (3.4 %),3 (0.3 %),0 (0.0 %),0 (0.0 %)
45,Middlesex High School,9-12,648,11.1,27.60%,73.3,201,156,Public,300 John F. Kennedy Drive,Middlesex,8846,Middlesex,Middlesex Borough School District,No,(n/a),No,No,(732) 317-6000,58,384 (59.3 %),65 (10.0 %),165 (25.5 %),29 (4.5 %),0 (0.0 %),0 (0.0 %),5 (0.8 %)
46,Princeton High School,9-12,"1,519",12,8.60%,73.1,44,-2,Public,151 Moore Street,Princeton,8540,Mercer,Princeton Public Schools,No,(n/a),No,No,(609) 806-4280,126,918 (60.4 %),82 (5.4 %),128 (8.4 %),324 (21.3 %),3 (0.2 %),0 (0.0 %),64 (4.2 %)
47,Mountain Lakes High School,9-12,692,12.3,1.50%,72.5,59,12,Public,96 Powerville Rd.,Mountain Lakes,7046,Morris,Mountain Lakes Public School District,No,(n/a),No,No,(973) 334-8400,56,584 (84.4 %),8 (1.2 %),23 (3.3 %),72 (10.4 %),1 (0.1 %),0 (0.0 %),4 (0.6 %)
48,Parsippany High School,9-12,936,10.8,22.00%,72.5,159,111,Public,309 Baldwin Rd,Parsippany,7054,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,Yes,(973) 263-7001,86,461 (49.3 %),48 (5.1 %),107 (11.4 %),303 (32.4 %),1 (0.1 %),1 (0.1 %),15 (1.6 %)
49,Academy for Law and Public Safety,9-12,62,62,0.00%,72.3,1,-48,Public,Bartholdi Avenue,Butler,7405,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 492-2000,1,51 (82.3 %),2 (3.2 %),6 (9.7 %),3 (4.8 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
50,Chatham High School,9-12,"1,190",12.3,2.30%,72.3,27,-23,Public,255 Lafayette Avenue,Chatham,7928,Morris,The School District Of The Chathams,No,(n/a),No,No,(973) 457-2505,96,"1,015 (85.3 %)",18 (1.5 %),41 (3.4 %),103 (8.7 %),0 (0.0 %),5 (0.4 %),8 (0.7 %)
51,Dumont High School,9-12,809,12.2,8.00%,71.7,103,52,Public,101 New Milford Ave,Dumont,7628,Bergen,Dumont Public School District,No,(n/a),No,No,(201) 387-3000,66,499 (61.7 %),25 (3.1 %),170 (21.0 %),92 (11.4 %),1 (0.1 %),22 (2.7 %),0 (0.0 %)
52,Park Ridge High School,7-12,584,9.7,5.00%,71.1,51,-1,Public,2 Park Ave,Park Ridge,7656,Bergen,Park Ridge School District,No,(n/a),No,Yes,(201) 573-6000,60,466 (79.8 %),8 (1.4 %),61 (10.4 %),43 (7.4 %),0 (0.0 %),0 (0.0 %),6 (1.0 %)
53,Leonia High School,9-12,689,11.8,16.60%,70.7,167,114,Public,100 Chrisite Heights Street,Leonia,7605,Bergen,Leonia Public School District,No,(n/a),No,Yes,(201) 302-5200,58,223 (32.4 %),35 (5.1 %),177 (25.7 %),248 (36.0 %),0 (0.0 %),1 (0.1 %),5 (0.7 %)
54,West Windsor-Plainsboro High School South,9-12,"1,602",14,4.60%,70.7,45,-9,Public,346 Clarksville Road,West Windsor,8550,Mercer,West Windsor-Plainsboro Regional School District,No,(n/a),No,No,(609) 716-5050,114,510 (31.8 %),92 (5.7 %),94 (5.9 %),892 (55.7 %),0 (0.0 %),1 (0.1 %),13 (0.8 %)
55,County Prep High School,9-12,708,8.6,56.80%,70.4,150,95,Public,525 Montgomery Street,Jersey City,7306,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 631-6302,82,131 (18.5 %),77 (10.9 %),267 (37.7 %),213 (30.1 %),2 (0.3 %),18 (2.5 %),0 (0.0 %)
56,North Hunterdon High School,9-12,"1,747",12.9,2.60%,70.1,49,-7,Public,1445 State Route 31,Annandale,8801,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,No,(908) 735-5191,135,"1,570 (89.9 %)",33 (1.9 %),55 (3.1 %),82 (4.7 %),6 (0.3 %),0 (0.0 %),1 (0.1 %)
57,Northern Highlands Regional High School,9-12,"1,373",11.9,0.50%,69.1,35,-22,Public,298 Hillside Ave,Allendale,7401,Bergen,Northern Highlands Regional High School District,No,(n/a),No,No,(201) 327-8700,115,"1,141 (83.1 %)",15 (1.1 %),62 (4.5 %),143 (10.4 %),0 (0.0 %),1 (0.1 %),11 (0.8 %)
58,East Orange STEM Academy High School,6-12,574,11,77.40%,69,168,110,"Public, Alternative",129 Renshaw Avenue,East Orange,7017,Essex,East Orange School District,No,(n/a),No,Yes,(973) 266-5900,52,0 (0.0 %),551 (96.0 %),21 (3.7 %),2 (0.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
59,Parsippany Hills High School,9-12,"1,058",11.1,14.70%,67.6,79,20,Public,20 Rita Drive,Morris Plains,7950,Morris,Parsippany-Troy Hills Township School District,No,(n/a),No,No,(973) 682-2815,95,526 (49.7 %),26 (2.5 %),119 (11.2 %),370 (35.0 %),1 (0.1 %),0 (0.0 %),16 (1.5 %)
60,Hunterdon Central Regional High School District,9-12,"3,043",12.8,6.80%,66.9,72,12,Public,84 Route 31,Flemington,8822,Hunterdon,Hunterdon Central Regional High School District,No,(n/a),No,Yes,(908) 782-5727,236,"2,559 (84.1 %)",73 (2.4 %),218 (7.2 %),171 (5.6 %),3 (0.1 %),2 (0.1 %),17 (0.6 %)
61,Randolph High School,9-12,"1,611",11.9,6.40%,66.8,87,26,Public,511 Millbrook Avenue,Randolph,7869,Morris,Randolph Township School District,No,(n/a),No,No,(973) 361-2400,135,"1,255 (77.9 %)",39 (2.4 %),181 (11.2 %),131 (8.1 %),1 (0.1 %),4 (0.2 %),0 (0.0 %)
62,Point Pleasant Beach High School,9-12,371,11.5,6.50%,66.7,120,58,Public,700 Trenton Avenue,Point Pleasant Beach,8742,Ocean,Point Pleasant Beach School District,No,(n/a),No,Yes,(732) 899-1817,32,338 (91.1 %),3 (0.8 %),19 (5.1 %),10 (2.7 %),0 (0.0 %),0 (0.0 %),1 (0.3 %)
63,Waldwick High School,9-12,464,11,0.90%,66.7,203,140,Public,155 Wyckoff Avenue,Waldwick,7463,Bergen,Waldwick School District,No,(n/a),No,No,(201) 652-9000,42,380 (81.9 %),13 (2.8 %),48 (10.3 %),23 (5.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
64,Bernards High School,9-12,843,12.9,9.90%,66.6,66,2,Public,25 Olcott Avenue,Bernardsville,7924,Somerset,Somerset Hills Regional School District,No,(n/a),No,Yes,(908) 630-3000,65,642 (76.2 %),19 (2.3 %),118 (14.0 %),62 (7.4 %),0 (0.0 %),0 (0.0 %),2 (0.2 %)
65,West Windsor-Plainsboro High School North,9-12,"1,497",12,5.10%,66.6,42,-23,Public,90 Grovers Mill Road,Plainsboro,8536,Middlesex,West Windsor-Plainsboro Regional School District,No,(n/a),No,Yes,(609) 716-5100,124,478 (31.9 %),117 (7.8 %),62 (4.1 %),838 (56.0 %),0 (0.0 %),1 (0.1 %),1 (0.1 %)
66,Pequannock Township High School,9-12,737,11.8,5.70%,65.9,69,3,Public,85 Sunset Road,Pompton Plains,7444,Morris,Pequannock Township School District,No,(n/a),No,Yes,(973) 616-6000,62,682 (92.5 %),7 (0.9 %),38 (5.2 %),9 (1.2 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
67,Toms River High School North,9-12,"2,364",15,23.90%,65.6,216,149,Public,1245 Old Freehold Road,Toms River,8753,Ocean,Toms River Regional School District,No,(n/a),No,No,(732) 505-5702,157,"1,788 (75.6 %)",130 (5.5 %),249 (10.5 %),155 (6.6 %),3 (0.1 %),6 (0.3 %),33 (1.4 %)
68,Hackettstown High School,9-12,923,13.5,13.00%,65.6,102,34,Public,701 Warren Street,Hackettstown,7840,Warren,Hackettstown Public School District,No,(n/a),No,No,(908) 852-8150,68,730 (79.1 %),18 (2.0 %),117 (12.7 %),43 (4.7 %),2 (0.2 %),2 (0.2 %),11 (1.2 %)
69,Bard Early College High School,9-12,300,11.5,74.00%,65.1,166,97,Public,321 Bergen Street,Newark,7103,Essex,Newark Public School District,No,(n/a),No,Yes,(212) 995-8479,26,10 (3.3 %),220 (73.3 %),65 (21.7 %),5 (1.7 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
70,New Providence High School,9-12,660,11.5,5.00%,65.1,64,-6,Public,35 Pioneer Dr,New Providence,7974,Union,New Providence Board Of Education,No,(n/a),No,No,(908) 464-4700,57,499 (75.6 %),13 (2.0 %),55 (8.3 %),90 (13.6 %),1 (0.2 %),2 (0.3 %),0 (0.0 %)
71,Westfield Senior High School,9-12,"1,854",11.9,3.10%,64.3,80,9,Public,550 Dorian Rd,Westfield,7090,Union,Westfield Public School District,No,(n/a),No,No,(908) 789-4500,155,"1,595 (86.0 %)",71 (3.8 %),65 (3.5 %),121 (6.5 %),0 (0.0 %),1 (0.1 %),1 (0.1 %)
72,Matawan Regional High School,9-12,"1,049",11.4,29.60%,64.2,211,139,Public,450 Atlantic Avenue,Aberdeen,7747,Monmouth,Matawan-Aberdeen Regional School District,No,(n/a),No,No,(732) 705-5200,92,691 (65.9 %),167 (15.9 %),130 (12.4 %),53 (5.1 %),1 (0.1 %),0 (0.0 %),7 (0.7 %)
73,Ridgefield Park Junior Senior High School,7-12,"1,258",13.3,39.50%,64.2,286,213,Public,1 Ozzie Nelson Drive,Ridgefield Park,7660,Bergen,Ridgefield Park School District,No,(n/a),No,No,(201) 440-1440,94,394 (31.3 %),73 (5.8 %),644 (51.2 %),117 (9.3 %),0 (0.0 %),27 (2.1 %),3 (0.2 %)
74,Cedar Grove High School,9-12,479,11.6,4.40%,63.8,145,71,Public,90 Rugby Rd,Cedar Grove,7009,Essex,Cedar Grove Township School District,No,(n/a),No,Yes,(973) 239-6400,41,430 (89.8 %),3 (0.6 %),21 (4.4 %),25 (5.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
75,Paramus High School,9-12,"1,317",12.5,7.60%,63.4,78,3,Public,99 East Century Rd,Paramus,7652,Bergen,Paramus Public School District,No,(n/a),No,Yes,(201) 261-7800,105,817 (62.0 %),26 (2.0 %),121 (9.2 %),350 (26.6 %),0 (0.0 %),0 (0.0 %),3 (0.2 %)
76,Technology High School,9-12,594,10,85.00%,62.8,86,10,Public,223 Broadway,Newark,7102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 481-5962,59,55 (9.3 %),157 (26.4 %),365 (61.4 %),17 (2.9 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
77,Fort Lee High School,9-12,983,14.6,24.00%,62.8,164,87,Public,3000 Lemoine Ave,Fort Lee,7024,Bergen,Fort Lee School District,No,(n/a),No,Yes,(201) 585-4675,67,327 (33.3 %),39 (4.0 %),211 (21.5 %),403 (41.0 %),0 (0.0 %),3 (0.3 %),0 (0.0 %)
78,Ramsey High School,9-12,856,10,3.70%,62.7,30,-48,Public,256 E Main Street,Ramsey,7446,Bergen,Ramsey School District,No,(n/a),No,No,(201) 785-2300,85,730 (85.3 %),8 (0.9 %),56 (6.5 %),54 (6.3 %),0 (0.0 %),0 (0.0 %),8 (0.9 %)
79,High Technical High School,9-12,835,11.7,43.10%,62,17,-62,Public,2000 85th Street,North Bergen,7047,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 662-6801,71,253 (30.3 %),55 (6.6 %),334 (40.0 %),178 (21.3 %),1 (0.1 %),14 (1.7 %),0 (0.0 %)
80,Tenafly High School,9-12,"1,158",11.3,3.30%,61.7,41,-39,Public,19 Columbus Drive,Tenafly,7670,Bergen,Tenafly Public School District,No,(n/a),No,Yes,(201) 816-6614,102,717 (61.9 %),17 (1.5 %),61 (5.3 %),354 (30.6 %),0 (0.0 %),1 (0.1 %),8 (0.7 %)
81,Pompton Lakes High School,9-12,662,12.9,14.50%,61.6,188,107,Public,44 Lakeside Avenue,Pompton Lakes,7442,Passaic,Pompton Lakes School District,No,(n/a),No,No,(973) 835-7100,51,522 (78.9 %),9 (1.4 %),102 (15.4 %),24 (3.6 %),0 (0.0 %),5 (0.8 %),0 (0.0 %)
82,Scotch Plains-Fanwood High School,9-12,"1,572",13.7,7.20%,61.5,104,22,Public,667 Westfield Road,Scotch Plains,7076,Union,Scotch Plains-Fanwood School District,No,(n/a),No,No,(908) 889-8600,114,"1,146 (72.9 %)",183 (11.6 %),125 (8.0 %),91 (5.8 %),4 (0.3 %),3 (0.2 %),20 (1.3 %)
83,Phillipsburg High School,9-12,"1,631",13.9,31.40%,61.5,288,205,Public,1 Liner Lane,Phillipsburg,8865,Warren,Phillipsburg School District,No,(n/a),No,No,(908) 454-6551,117,"1,185 (72.7 %)",177 (10.9 %),183 (11.2 %),62 (3.8 %),2 (0.1 %),0 (0.0 %),22 (1.3 %)
