rank,school,grades,students,student/teacher ratio,free lunch recipients,average standard score,rank (2012),rank change from 2012,school type,address,city,zip,county,district,charter,magnet,virtual,title i,phone,full time teachers,white,black,hispanic,asian,american indian,pacific islander,two or more races
1,Marine Academy Of Science And Technology,9-12,293,10.8,2.10%,84.8,1,0.00,Public,305 Mast Way,Highlands,07732,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 291-0995,27,272 (92.8 %),3 (1.0 %),8 (2.7 %),10 (3.4 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Marine Academy of Technology and Environmental Science,9-12,257,,6.20%,84.8,23,22.00,Public,195 Cedar Bridge Road,Manahawkin,08050,Ocean,Ocean County Vocational Technical School School District,No,(n/a),No,No,(609) 978-8439,,212 (82.5 %),7 (2.7 %),9 (3.5 %),21 (8.2 %),0 (0.0 %),4 (1.6 %),4 (1.6 %)
1,Middlesex County Vocational Academy Allied Health & Biomedical Science,8-12,212,12.1,11.30%,84.8,1,0.00,Public,1 Convery Boulevard,Woodbridge,07095,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 634-5858,18,62 (29.2 %),4 (1.9 %),18 (8.5 %),128 (60.4 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
1,Middlesex County Vocational Academy Math Science &Engineering Techn,9-12,161,12.3,0.00%,84.8,1,0.00,Public,100 Technology Drive,Edison,08837,Middlesex,Middlesex County Vocational and Technical School District,No,(n/a),No,No,(732) 452-2600,13,53 (32.9 %),1 (0.6 %),4 (2.5 %),102 (63.4 %),0 (0.0 %),1 (0.6 %),0 (0.0 %)
1,Performing Arts Academy Of The Ocean County Vocational Technical,9-12,218,,7.30%,84.8,1,0.00,Public,Route 547,Lakehurst,08733,Ocean,Ocean County Vocational Technical School School District,No,(n/a),No,No,(732) 286-5678,,185 (84.9 %),7 (3.2 %),20 (9.2 %),3 (1.4 %),0 (0.0 %),1 (0.5 %),2 (0.9 %)
1,Union County Magnet High School,9-12,290,11.6,10.00%,84.8,1,0.00,Public,1776 Raritan Road,Scotch Plains,07076,Union,Union County Vocational-Technical School District,No,(n/a),No,No,(908) 889-8288,25,150 (51.7 %),26 (9.0 %),29 (10.0 %),82 (28.3 %),1 (0.3 %),0 (0.0 %),2 (0.7 %)
1,Union County Technical,9-12,312,8.6,19.20%,84.8,1,0.00,Public,1776 Raritan Rd,Scotch Plains,07076,Union,Union County Vocational-Technical School District,No,(n/a),No,Yes,(908) 889-8288,36,133 (42.6 %),70 (22.4 %),75 (24.0 %),31 (9.9 %),0 (0.0 %),0 (0.0 %),3 (1.0 %)
18,Bergen County Technical High School - Teterboro,9-12,635,9.7,10.90%,84.1,19,1.00,Public,504 Route 46 West,Teterboro,07608,Bergen,Bergen County Vocational Technical School District,No,(n/a),No,Yes,(201) 343-6000,65,271 (42.7 %),25 (3.9 %),122 (19.2 %),190 (29.9 %),2 (0.3 %),2 (0.3 %),23 (3.6 %)
19,Morris County School of Technology,9-12,574,8.3,8.50%,83.9,21,2.00,Public,400 East Main Street,Denville,07834,Morris,Morris County Vocational School District,No,(n/a),No,Yes,(973) 627-4600,69,404 (70.4 %),13 (2.3 %),55 (9.6 %),98 (17.1 %),0 (0.0 %),1 (0.2 %),3 (0.5 %)
20,Science Park High School,7-12,785,11.5,76.90%,83.7,18,-2,Public,260 Norfolk Street,Newark,07102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 733-8689,68,175 (22.3 %),237 (30.2 %),344 (43.8 %),27 (3.4 %),0 (0.0 %),2 (0.3 %),0 (0.0 %)
21,Elizabeth High School,9-12,769,14.5,78.00%,83.6,20,-1,Public,40 Morrell Street,Elizabeth,07201,Union,Elizabeth Public Schools,No,(n/a),No,Yes,(908) 436-5860,53,116 (15.1 %),77 (10.0 %),536 (69.7 %),40 (5.2 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
22,Communications High School,9-12,335,11.5,0.00%,83.4,1,-21,Public,1740 New Bedford Road,Wall,07719,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 681-1010,29,293 (87.5 %),6 (1.8 %),15 (4.5 %),21 (6.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
23,Bloomfield Technical,9-12,484,11.8,81.40%,83.1,24,1.00,Public,209 Franklin Street,Bloomfield,07003,Essex,Essex County Vocational Technical School District,No,(n/a),No,Yes,(973) 412-2206,41,8 (1.7 %),238 (49.2 %),225 (46.5 %),2 (0.4 %),4 (0.8 %),4 (0.8 %),3 (0.6 %)
23,Chatham High School,9-12,"1,159",13,2.70%,83.1,36,13.00,Public,255 Lafayette Avenue,Chatham,07928,Morris,The School District Of The Chathams,No,(n/a),No,No,(973) 457-2505,89,"1,012 (87.3 %)",11 (0.9 %),46 (4.0 %),86 (7.4 %),0 (0.0 %),0 (0.0 %),4 (0.3 %)
25,High Technology High School,9-12,280,13,0.00%,82.8,1,-24,Public,765 Newman Springs Road,Lincroft,07738,Monmouth,Monmouth County Vocational School District,No,(n/a),No,No,(732) 842-8444,22,137 (48.9 %),0 (0.0 %),2 (0.7 %),140 (50.0 %),0 (0.0 %),0 (0.0 %),1 (0.4 %)
26,Ridge High School,9-12,"1,811",12.6,1.40%,82.2,47,21.00,Public,268 So Finley Ave,Basking Ridge,07920,Somerset,Bernards Township School District,No,(n/a),No,Yes,(908) 204-2585,143,"1,392 (76.9 %)",18 (1.0 %),60 (3.3 %),316 (17.4 %),1 (0.1 %),0 (0.0 %),24 (1.3 %)
27,Atlantic County Institute of Technology,9-12,928,10.6,54.90%,81.8,35,8.00,Public,5080 Atlantic Avenue,Mays Landing,08330,Atlantic,Atlantic County Vocational School District,No,(n/a),No,Yes,(609) 625-2249,87,396 (42.7 %),182 (19.6 %),270 (29.1 %),46 (5.0 %),10 (1.1 %),13 (1.4 %),11 (1.2 %)
27,McVs Assunpink Center Shared Time/Rubino,9-12,145,11.1,18.60%,81.8,,,Public,1085 Old Trenton Road,Trenton,08690,Mercer,Area Vocational Technical Schools Of Mercer County,No,(n/a),No,No,(609) 586-5144,13,19 (13.1 %),87 (60.0 %),22 (15.2 %),17 (11.7 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
29,Montgomery High School,9-12,"1,740",14.4,3.30%,81.7,48,19.00,Public,1016 Route 601,Skillman,08558,Somerset,Montgomery Township School District,No,(n/a),No,Yes,(609) 466-7602,120,"1,077 (61.9 %)",54 (3.1 %),56 (3.2 %),552 (31.7 %),1 (0.1 %),0 (0.0 %),0 (0.0 %)
30,Haddonfield Memorial High School,9-12,741,,2.20%,81.6,42,12.00,Public,401 Kings Highway East,Haddonfield,08033,Camden,Haddonfield School District,No,(n/a),No,No,(856) 429-3960,,671 (90.6 %),10 (1.3 %),19 (2.6 %),38 (5.1 %),0 (0.0 %),0 (0.0 %),3 (0.4 %)
31,West Morris Mendham High School,9-12,"1,432",13.9,0.60%,81.5,41,10.00,Public,65 East Main Street,Mendham,07945,Morris,West Morris Regional High School District,No,(n/a),No,No,(973) 543-2501,102,"1,263 (88.2 %)",13 (0.9 %),74 (5.2 %),53 (3.7 %),5 (0.3 %),3 (0.2 %),21 (1.5 %)
32,Cape May County Technical High SChool,9-12,600,9.1,20.70%,81.4,69,37.00,Public,188 Crest Haven Rd,Cape May Court House,08210,Cape May,Cape May County Technical High School District,No,(n/a),No,Yes,(609) 465-2161,66,533 (88.8 %),19 (3.2 %),30 (5.0 %),13 (2.2 %),0 (0.0 %),1 (0.2 %),4 (0.7 %)
33,High Technical High School,9-12,620,10.4,39.20%,81.2,26,-7,Public,2000 85th Street,North Bergen,07047,Hudson,Hudson County Schools Of Technology School District,No,(n/a),No,Yes,(201) 662-6801,59,221 (35.6 %),49 (7.9 %),224 (36.1 %),120 (19.4 %),1 (0.2 %),5 (0.8 %),0 (0.0 %)
34,Millburn High School,9-12,"1,522",12.3,1.30%,81.1,44,10.00,Public,462 Millburn Ave,Millburn,07041,Essex,Millburn Township School District,No,(n/a),No,No,(973) 564-7130,123,"1,140 (74.9 %)",26 (1.7 %),48 (3.2 %),298 (19.6 %),0 (0.0 %),2 (0.1 %),8 (0.5 %)
35,Cherry Hill High School East,9-12,"2,098",15.7,9.30%,80.6,37,2.00,Public,1750 Kresson Rd,Cherry Hill,08003,Camden,Cherry Hill School District,No,(n/a),No,No,(856) 424-2222,133,"1,443 (68.8 %)",146 (7.0 %),95 (4.5 %),387 (18.4 %),0 (0.0 %),2 (0.1 %),25 (1.2 %)
36,West Morris Central High School,9-12,"1,349",12.9,1.00%,80.4,67,31.00,Public,259 Bartley Road,Chester,07930,Morris,West Morris Regional High School District,No,(n/a),No,No,(908) 879-5212,104,"1,194 (88.5 %)",19 (1.4 %),70 (5.2 %),48 (3.6 %),1 (0.1 %),1 (0.1 %),16 (1.2 %)
37,Mahwah High School,9-12,"1,023",11.8,8.00%,80.2,55,18.00,Public,50 Ridge Road,Mahwah,07430,Bergen,Mahwah Township Public School District,No,(n/a),No,Yes,(201) 762-2300,86,828 (80.9 %),21 (2.1 %),53 (5.2 %),101 (9.9 %),16 (1.6 %),0 (0.0 %),4 (0.4 %)
38,Ramapo High School,9-12,"1,087",9.8,0.60%,80.1,59,21.00,Public,331 George Street,Franklin Lakes,07417,Bergen,Ramapo Indian Hills Regional High School District,No,(n/a),No,No,(201) 891-1500,111,974 (89.6 %),14 (1.3 %),30 (2.8 %),69 (6.3 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
39,Ridgewood High School,9-12,"1,694",12.8,1.50%,79.8,80,41.00,Public,627 East Ridgewood Ave,Ridgewood,07451,Bergen,Ridgewood Public School District,No,(n/a),No,No,(201) 670-2800,132,"1,192 (70.4 %)",21 (1.2 %),125 (7.4 %),298 (17.6 %),0 (0.0 %),1 (0.1 %),57 (3.4 %)
40,Tenafly High School,9-12,"1,220",12.2,3.20%,79.6,38,-2,Public,19 Columbus Drive,Tenafly,07670,Bergen,Tenafly Public School District,No,(n/a),No,Yes,(201) 816-6614,99,718 (58.9 %),23 (1.9 %),52 (4.3 %),417 (34.2 %),0 (0.0 %),1 (0.1 %),9 (0.7 %)
41,West Windsor-Plainsboro High School South,9-12,"1,602",14.2,5.10%,79.6,53,12.00,Public,346 Clarksville Road,West Windsor,08550,Mercer,West Windsor-Plainsboro Regional School District,No,(n/a),No,No,(609) 716-5050,113,602 (37.6 %),111 (6.9 %),82 (5.1 %),795 (49.6 %),0 (0.0 %),1 (0.1 %),11 (0.7 %)
42,West Essex High School,9-12,"1,050",11.6,2.70%,79.4,86,44.00,Public,65 West Greenbrook Rd,North Caldwell,07006,Essex,West Essex Regional School District,No,(n/a),No,Yes,(973) 228-1200,90,902 (85.9 %),9 (0.9 %),73 (7.0 %),59 (5.6 %),0 (0.0 %),1 (0.1 %),6 (0.6 %)
43,Pascack Hills High School,9-12,780,11.6,1.00%,79.4,50,7.00,Public,225 West Grand Avenue,Montvale,07645,Bergen,Pascack Valley Regional High School District,No,(n/a),No,No,(201) 358-7020,67,645 (82.7 %),12 (1.5 %),45 (5.8 %),74 (9.5 %),0 (0.0 %),0 (0.0 %),4 (0.5 %)
44,Technology High School,9-12,569,9.8,91.40%,79.3,39,-5,Public,223 Broadway,Newark,07102,Essex,Newark Public School District,No,(n/a),No,Yes,(973) 481-5962,58,48 (8.4 %),148 (26.0 %),357 (62.7 %),15 (2.6 %),1 (0.2 %),0 (0.0 %),0 (0.0 %)
45,Manalapan High School,9-12,"2,035",15.7,7.30%,79.3,68,23.00,Public,20 Church Lane,Englishtown,07726,Monmouth,Freehold Regional High School District,No,(n/a),No,No,(732) 792-7200,129,"1,709 (84.0 %)",58 (2.9 %),115 (5.7 %),147 (7.2 %),2 (0.1 %),3 (0.1 %),1 (0.0 %)
46,Northern Valley Regional High School At Old Tappan,9-12,"1,326",12.1,1.30%,79.2,45,-1,Public,Central Ave,Old Tappan,07675,Bergen,Northern Valley Regional High School District,No,(n/a),No,No,(201) 784-1600,109,873 (65.8 %),7 (0.5 %),66 (5.0 %),355 (26.8 %),1 (0.1 %),1 (0.1 %),23 (1.7 %)
47,New Providence High School,9-12,612,11,3.60%,79.2,62,15.00,Public,35 Pioneer Dr,New Providence,07974,Union,New Providence Board Of Education,No,(n/a),No,No,(908) 464-4700,55,484 (79.1 %),10 (1.6 %),53 (8.7 %),61 (10.0 %),0 (0.0 %),4 (0.7 %),0 (0.0 %)
48,Northern Valley Regional High School At Demarest,9-12,"1,231",12,1.30%,79,27,-21,Public,150 Knickerbocker Rd,Demarest,07627,Bergen,Northern Valley Regional High School District,No,(n/a),No,Yes,(201) 768-3200,102,787 (63.9 %),8 (0.6 %),81 (6.6 %),330 (26.8 %),0 (0.0 %),2 (0.2 %),23 (1.9 %)
49,North Star Academy Charter School,K-12,"2,222",10.8,83.40%,78.7,1,-48,"Public, Charter, Alternative",10 Washington Place,Newark,07102,Essex,North Star Academy Charter School,Yes,(n/a),No,Yes,(973) 642-0101,204,98 (4.4 %),"1,876 (84.4 %)",171 (7.7 %),60 (2.7 %),0 (0.0 %),0 (0.0 %),17 (0.8 %)
50,Holmdel High School,9-12,"1,021",11.6,2.60%,78.7,71,21.00,Public,36 Crawfords Corner Road,Holmdel,07733,Monmouth,Holmdel Township School District,No,(n/a),No,Yes,(732) 946-1832,88,722 (70.7 %),7 (0.7 %),49 (4.8 %),196 (19.2 %),1 (0.1 %),4 (0.4 %),42 (4.1 %)
51,Livingston High School,9-12,"1,809",12.1,1.00%,78.7,52,1.00,Public,30 Robert Harp Drive,Livingston,07039,Essex,Livingston Board Of Education School District,No,(n/a),No,Yes,(973) 535-8000,149,"1,241 (68.6 %)",53 (2.9 %),78 (4.3 %),418 (23.1 %),1 (0.1 %),2 (0.1 %),16 (0.9 %)
52,Madison High School,9-12,812,12.9,7.40%,78.7,43,-9,Public,170 Ridgedale Avenue,Madison,07940,Morris,Madison Public School District,No,(n/a),No,Yes,(973) 593-3117,63,668 (82.3 %),24 (3.0 %),56 (6.9 %),57 (7.0 %),4 (0.5 %),1 (0.1 %),2 (0.2 %)
53,Princeton High School,9-12,"1,447",12,10.00%,78.6,57,4.00,Public,151 Moore Street,Princeton,08540,Mercer,Princeton Public Schools,No,(n/a),No,No,(609) 806-4280,120,924 (63.9 %),86 (5.9 %),136 (9.4 %),270 (18.7 %),1 (0.1 %),0 (0.0 %),30 (2.1 %)
54,Robbinsville High School,9-12,880,14,3.80%,78.4,46,-8,Public,155 Robbinsville Edinburg Rd,Robbinsville,08691,Mercer,Robbinsville Public Schools,No,(n/a),No,No,(609) 632-0950,63,696 (79.1 %),36 (4.1 %),39 (4.4 %),108 (12.3 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
55,West Windsor-Plainsboro High School North,9-12,"1,622",12.8,4.70%,78.2,25,-30,Public,90 Grovers Mill Road,Plainsboro,08536,Middlesex,West Windsor-Plainsboro Regional School District,No,(n/a),No,Yes,(609) 716-5100,126,594 (36.6 %),121 (7.5 %),78 (4.8 %),826 (50.9 %),0 (0.0 %),1 (0.1 %),2 (0.1 %)
56,Sparta High School,9-12,"1,229",12.8,3.70%,78.2,102,46.00,Public,70 West Mountain Road,Sparta,07871,Sussex,Sparta Township Public School District,No,(n/a),No,Yes,(973) 729-6191,95,"1,102 (89.7 %)",15 (1.2 %),61 (5.0 %),51 (4.1 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
57,Mountain Lakes High School,9-12,705,11.8,0.90%,78.1,32,-25,Public,96 Powerville Rd.,Mountain Lakes,07046,Morris,Mountain Lakes Public School District,No,(n/a),No,No,(973) 334-8400,60,601 (85.2 %),8 (1.1 %),24 (3.4 %),64 (9.1 %),0 (0.0 %),1 (0.1 %),7 (1.0 %)
58,Northern Highlands Regional High School,9-12,"1,328",11.6,0.60%,78.1,28,-30,Public,298 Hillside Ave,Allendale,07401,Bergen,Northern Highlands Regional High School District,No,(n/a),No,No,(201) 327-8700,114,"1,091 (82.2 %)",14 (1.1 %),67 (5.0 %),148 (11.1 %),0 (0.0 %),0 (0.0 %),8 (0.6 %)
59,Pequannock Township High School,9-12,728,11.5,4.40%,78.1,34,-25,Public,85 Sunset Road,Pompton Plains,07444,Morris,Pequannock Township School District,No,(n/a),No,Yes,(973) 616-6000,63,682 (93.7 %),4 (0.5 %),35 (4.8 %),7 (1.0 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
60,Bridgewater-Raritan High School,9-12,"2,835",12.8,6.90%,78,54,-6,Public,600 Garretson Road,Bridgewater,08807,Somerset,Bridgewater-Raritan Regional School District,No,(n/a),No,No,(908) 231-8660,221,"1,947 (68.7 %)",87 (3.1 %),261 (9.2 %),530 (18.7 %),0 (0.0 %),8 (0.3 %),2 (0.1 %)
61,Mount Olive High School,9-12,"1,443",12.9,13.70%,78,87,26.00,Public,18 Corey Road,Flanders,07836,Morris,Mount Olive Township School District,No,(n/a),No,No,(973) 927-2208,111,"1,050 (72.8 %)",98 (6.8 %),164 (11.4 %),108 (7.5 %),0 (0.0 %),2 (0.1 %),21 (1.5 %)
62,Voorhees High School,9-12,"1,141",12.3,4.90%,77.7,56,-6,Public,256 County Route 513,Glen Gardner,08826,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,Yes,(908) 638-6116,92,"1,029 (90.2 %)",21 (1.8 %),53 (4.6 %),32 (2.8 %),2 (0.2 %),0 (0.0 %),4 (0.4 %)
63,Westfield Senior High School,9-12,"1,860",12.4,2.60%,77.5,70,7.00,Public,550 Dorian Rd,Westfield,07090,Union,Westfield Public School District,No,(n/a),No,No,(908) 789-4500,150,"1,608 (86.5 %)",79 (4.2 %),59 (3.2 %),114 (6.1 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
64,Glen Ridge High School,7-12,845,10.6,0.00%,77.5,109,45.00,Public,200 Ridgewood Ave,Glen Ridge,07028,Essex,Glen Ridge Public School District,No,(n/a),No,No,(973) 429-8303,79,686 (81.2 %),50 (5.9 %),47 (5.6 %),36 (4.3 %),2 (0.2 %),0 (0.0 %),24 (2.8 %)
65,Shore Regional High School,9-12,661,11.6,3.90%,77.4,74,9.00,Public,132 Monmouth Park Highway 36,West Long Branch,07764,Monmouth,Shore Regional High School District,No,(n/a),No,No,(732) 222-9300,57,610 (92.3 %),8 (1.2 %),29 (4.4 %),5 (0.8 %),0 (0.0 %),0 (0.0 %),9 (1.4 %)
66,Marlboro High School,9-12,"1,952",15.5,4.60%,77.4,31,-35,Public,95 North Main Street,Marlboro,07746,Monmouth,Freehold Regional High School District,No,(n/a),No,No,(732) 617-8393,126,"1,462 (74.9 %)",33 (1.7 %),98 (5.0 %),342 (17.5 %),7 (0.4 %),3 (0.2 %),7 (0.4 %)
67,Glen Rock High School,9-12,722,11,0.40%,77.3,104,37.00,Public,400 Hamilton Avenue,Glen Rock,07452,Bergen,Glen Rock Public School District,No,(n/a),No,No,(201) 445-7700,65,618 (85.6 %),7 (1.0 %),25 (3.5 %),69 (9.6 %),1 (0.1 %),1 (0.1 %),1 (0.1 %)
68,Hunterdon Central Regional High School District,9-12,"3,015",12.5,7.70%,77.2,40,-28,Public,84 Route 31,Flemington,08822,Hunterdon,Hunterdon Central Regional High School District,No,(n/a),No,Yes,(908) 782-5727,240,"2,594 (86.0 %)",78 (2.6 %),170 (5.6 %),166 (5.5 %),2 (0.1 %),0 (0.0 %),5 (0.2 %)
69,Central Jersey College Prep Charter School,K-12,313,10.1,44.40%,76.8,169,100.00,"Public, Charter, Alternative",17 Schoolhouse Rd,Somerset,08873,Somerset,Central Jersey College Prep Charter School,Yes,(n/a),No,No,(732) 302-9991,31,25 (8.0 %),195 (62.3 %),67 (21.4 %),24 (7.7 %),0 (0.0 %),1 (0.3 %),1 (0.3 %)
70,Kinnelon High School,9-12,684,10.9,1.30%,76.8,83,13.00,Public,121 Kinnelon Road,Kinnelon,07405,Morris,Kinnelon School District,No,(n/a),No,No,(973) 838-5500,63,628 (91.8 %),10 (1.5 %),15 (2.2 %),20 (2.9 %),1 (0.1 %),10 (1.5 %),0 (0.0 %)
71,Howell High School,9-12,"2,405",15.4,9.30%,76.8,115,44.00,Public,405 Squankum Yellowbrook Road,Farmingdale,07727,Monmouth,Freehold Regional High School District,No,(n/a),No,No,(732) 919-2131,156,"2,102 (87.4 %)",106 (4.4 %),129 (5.4 %),61 (2.5 %),1 (0.0 %),3 (0.1 %),3 (0.1 %)
72,Cranford High School,9-12,"1,155",11.5,3.60%,76.8,61,-11,Public,201 West End Place,Cranford,07016,Union,Cranford Public School District,No,(n/a),No,No,(908) 709-6272,100,"1,010 (87.4 %)",36 (3.1 %),71 (6.1 %),37 (3.2 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
73,North Hunterdon High School,9-12,"1,763",13.3,1.30%,76.8,49,-24,Public,1445 State Route 31,Annandale,08801,Hunterdon,North Hunterdon-Voorhees Regional High School District,No,(n/a),No,No,(908) 735-5191,132,"1,590 (90.2 %)",29 (1.6 %),65 (3.7 %),74 (4.2 %),5 (0.3 %),0 (0.0 %),0 (0.0 %)
74,Governor Livingston High School,9-12,"1,024",11.7,2.90%,76.6,107,33.00,Public,175 Watchung Boulevard,Berkeley Heights,07922,Union,Berkeley Heights School District,No,(n/a),No,No,(908) 464-3100,87,871 (85.1 %),16 (1.6 %),57 (5.6 %),80 (7.8 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
75,Verona High School,9-12,604,13.5,0.00%,76.6,81,6.00,Public,151 Fairview Ave,Verona,07044,Essex,Verona Public School District,No,(n/a),No,No,(973) 571-6750,45,517 (85.6 %),14 (2.3 %),36 (6.0 %),29 (4.8 %),1 (0.2 %),1 (0.2 %),6 (1.0 %)
76,Randolph High School,9-12,"1,643",13,4.50%,76.6,91,15.00,Public,511 Millbrook Avenue,Randolph,07869,Morris,Randolph Township School District,No,(n/a),No,No,(973) 361-2400,126,"1,271 (77.4 %)",55 (3.3 %),173 (10.5 %),141 (8.6 %),0 (0.0 %),3 (0.2 %),0 (0.0 %)
77,Cedar Grove High School,9-12,433,11.2,4.90%,76.4,106,29.00,Public,90 Rugby Rd,Cedar Grove,07009,Essex,Cedar Grove Township School District,No,(n/a),No,Yes,(973) 239-6400,39,393 (90.8 %),3 (0.7 %),18 (4.2 %),19 (4.4 %),0 (0.0 %),0 (0.0 %),0 (0.0 %)
78,Gloucester County Institute of Technology,9-12,"1,263",14.2,20.40%,76.3,110,32.00,Public,1360 Tanyard Road,Sewell,08080,Gloucester,Gloucester County Vocational-Technical School District,No,(n/a),No,Yes,(856) 468-1445,89,"1,046 (82.8 %)",64 (5.1 %),69 (5.5 %),30 (2.4 %),2 (0.2 %),1 (0.1 %),51 (4.0 %)
79,Spotswood High School,9-12,760,11.5,14.90%,76.1,193,114.00,Public,105 Summerhill Road,Spotswood,08884,Middlesex,Spotswood Public School District,No,(n/a),No,No,(732) 723-2200,66,628 (82.6 %),30 (3.9 %),77 (10.1 %),24 (3.2 %),0 (0.0 %),0 (0.0 %),1 (0.1 %)
79,Summit High School,9-12,"1,118",11.6,15.00%,76.1,84,5.00,Public,125 Kent Place Blvd,Summit,07901,Union,Summit Public School District,No,(n/a),No,Yes,(908) 273-1494,96,791 (70.8 %),64 (5.7 %),172 (15.4 %),66 (5.9 %),0 (0.0 %),0 (0.0 %),25 (2.2 %)
81,Metuchen High School,9-12,641,12,10.60%,76,135,54.00,Public,400 Grove Ave,Metuchen,08840,Middlesex,Metuchen Public School District,No,(n/a),No,Yes,(732) 321-8744,53,456 (71.1 %),45 (7.0 %),57 (8.9 %),79 (12.3 %),0 (0.0 %),0 (0.0 %),4 (0.6 %)
82,Rumson-Fair Haven Regional High School,9-12,897,10.7,0.80%,75.9,21,-61,Public,74 Ridge Road,Rumson,07760,Monmouth,Rumson-Fair Haven Regional High School School District,No,(n/a),No,No,(732) 842-1597,83,846 (94.3 %),7 (0.8 %),25 (2.8 %),15 (1.7 %),0 (0.0 %),0 (0.0 %),4 (0.4 %)
83,Ramsey High School,9-12,966,10.6,3.70%,75.9,50,-33,Public,256 E Main Street,Ramsey,07446,Bergen,Ramsey School District,No,(n/a),No,No,(201) 785-2300,91,830 (85.9 %),11 (1.1 %),49 (5.1 %),67 (6.9 %),0 (0.0 %),0 (0.0 %),9 (0.9 %)
